Fuente/Origen,Titulo_URL,Precio,Latitud,Longitud,Dirección,Barrio/Zona,Provincia,Tipología/Producto,google_maps,Fecha de publicación,Vendedor,m2 totales,m2 cubiertos,Dormitorios,Baños
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-dorm.-alto-alberdi-2-banos-56899908.html,39000,-31.4156284,-64.222463,Espora y San Luis,Alto Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.4156284,-64.222463",18-08-2025,Sergio Villella Bienes Inmuebles,70,70,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-de-1-dormitorio-con-terraza-56904292.html,79000,-31.3909644,-64.1845514,Departamento en Venta de 1 Dormitorio con Amplio Balcón y Terraza Propia en Alta Córdoba.,Alta Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.3909644,-64.1845514",11-08-2025,SIGI Inmobiliaria,64,64,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-dpto.-cofico.-campillo-600.-1-dorm.-gran-56900544.html,60000,-31.3994412,-64.1864819,Juan del Campillo 631,Cofico,Córdoba,Departamento,"https://maps.google.com/?q=-31.3994412,-64.1864819",29-08-2025,Antún Servicios Inmobiliarios,52,40,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-alta-cordoba-56898004.html,94000,-31.3842507,-64.1781628,Tucuman  al 2600,Alta Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.3842507,-64.1781628",18-08-2025,Red Inmobiliaria,80,80,3,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-dpto.-2-dorm.-categoria-a-m-del-parque-56902024.html,220000,-31.4304438,-64.1879007,Chile 160,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4304438,-64.1879007",27-08-2025,URBANIZA INVERSIONES INMOBILIARIAS,246,143,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-excelente-ubicacion-amplio-balcon-muy-bonito!-56899902.html,72000,-31.4125386,-64.1623041,General Deheza 208,General Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4125386,-64.1623041",12-08-2025,Grupo SEHO Servicios Inmobiliarios,45,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-nueva-cordoba-duplex-1-dormitorio-56902832.html,127300,-31.4228755,-64.1788737,Blvd. Pte Arturo Umberto Illi 542,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4228755,-64.1788737",11-08-2025,PROM INVERSIONES INMOBILIARIAS,58,58,1,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-nueva-cordoba-56899936.html,75000,-31.4314696,-64.1918512,Santiago Temple y Obispo Trejo,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4314696,-64.1918512",18-08-2025,Sergio Villella Bienes Inmuebles,45,43,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-a-estrenar-con-financiacion-2-dorm-centro-56904300.html,111280,-31.41630941,-64.48975676,San Martín,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.41630941431829,-64.4897567582394",21-08-2025,AP INMOBILIARIA,53,53,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-nva-cba-cerca-de-todo!-rondeau-al-300-2-dorm-56903223.html,82000,-31.4235209,-64.1821713,Rondeau al 300,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4235209,-64.1821713",11-08-2025,GFH Propiedades,60,60,2,1
